        1000       10       12000     0
      205021       0
        7019      -10.3415       37.3667
        7042       -4.2765       36.9291
        7053        0.3776       36.2902
        7065        3.5075       35.9504
        7089        9.1227       36.5804
        7107      -24.2324       38.9285
        7190        2.6174       38.2592
        7231      -27.0523       39.9614
        7243      -13.9421       39.4451
        7260        0.0469       40.1071
        7279        8.0547       39.8233
        7280      -32.7883       41.7747
        7362       -4.4931       41.7652
        7384        3.0147       41.6912
        7416      -27.3472       43.1797
        7446      -23.5126       42.2191
        7501      -10.2247       42.1217
        7556        8.6607       43.1336
        7578      -27.4792       45.1228
        7623      -10.0653       44.4852
        7636       -4.0212       43.5950
        7646        0.3146       43.4736
        7651        3.1279       44.6076
        7658        8.4600       43.9690
        7791      -32.3637       50.4034
        7871       13.3751      -49.9459
        7907       21.9614      -49.0515
        7916       27.1501      -50.0011
        7926       33.2997      -50.1134
        8069       21.5956      -46.6481
        8088       27.0491      -46.9617
        8103       33.3153      -46.1533
        8245       26.7846      -43.2915
        8342       21.9163      -42.6280
        8393       33.1300      -42.2582
        8492       26.9075      -39.7718
        8561       20.9517      -38.5684
        8585       33.0469      -38.5151
        8755       21.6916      -36.0483
        8778       26.9517      -35.9044
        8792       33.0300      -35.8838
        8882       32.7774      -33.6650
        8933       22.5710      -32.1778
        8937       27.4822      -32.5215
        9115       21.9626      -28.9711
        9127       26.4267      -29.3151
        9148       33.1078      -29.0272
        9300       22.4327      -26.0221
        9305       26.4647      -25.8754
        9432       33.3930      -25.2935
        9559       33.2648      -23.0308
        9638       21.5885      -22.1653
        9649       26.5594      -22.0834
        9793       22.2160      -18.2835
        9816       26.9569      -18.4475
        9961       33.2379      -17.7423
       10035       22.2178      -15.1801
       10049       26.8117      -15.3925
       10067       33.1284      -15.4901
       10193       27.2066      -12.2506
       10279       22.4988      -11.5358
       10409       26.5611       -9.2896
       10438       33.2950      -10.3395
       10439       33.3453       -9.3809
       10489       22.2217       -7.6960
       10614       32.8062       -5.9744
       10691       22.2752       -4.8956
       10705       27.0587       -4.9296
       10822       22.6409       -1.3380
       10833       26.6323       -1.6264
       10936       33.3967       -0.8525
       11027       22.8750        1.6266
       11136       26.9567        2.2266
       11153       33.0321        2.2024
       11214       33.1456        4.6946
       11274       22.8935        5.5620
       11280       27.1163        5.5740
       11394       26.9899        8.1894
       11494       23.1564        8.7903
       11711       27.0365       12.3728
       11734       33.6670       12.2794
       11823       22.7754       12.7823
       11971       33.2866       14.5782
       12017       23.3390       16.7692
       12033       27.8206       15.7805
       12200       22.7442       20.1838
       12216       27.0951       19.1719
       12241       33.3899       19.9782
       12419       22.9072       22.9001
       12426       27.0850       22.9923
       12601       33.2013       23.4224
       12703       22.6794       26.3879
       12754       33.3421       24.9814
       12866       27.1543       26.4620
       12974       26.6851       29.3062
       12990       33.3031       29.3630
       13088       23.1277       30.2983
       13247       33.3710       32.5144
       13314       22.4468       33.4008
       13330       26.9359       32.9315
       13468       22.9195       37.0016
       13481       26.9973       36.5440
       13496       33.1233       36.9763
       13680       27.2422       39.6826
       13700       33.1242       39.6916
       13733       22.6260       40.4944
       13815       27.0244       42.8876
       13907       23.2238       43.9468
       13943       33.2181       44.2044
       14004       31.9208       45.5625
       14045       26.5342       46.5403
       14166       23.4071       50.8763
       14183       26.7276       50.4077
       14188       -2.9393       51.4061
   200000004       -0.9251       36.5936
   200000003        0.6750      -35.8350
   200000005       23.9269      -35.4661
   200000001       23.9264      -35.4986
   200000002       22.3804       36.7441
         -99        0.0000        0.0000
      205023       0
         101      -33.5524      -50.8292
         130      -22.5672      -51.5532
         173      -33.4437      -49.0994
         187      -27.2941      -49.6980
         218      -13.6566      -49.2483
         259      -33.1173      -49.0296
         285      -21.4752      -48.2361
         294      -19.8375      -48.3163
         307      -13.9132      -47.9955
         452      -33.2472      -44.8798
         474      -27.3925      -46.0859
         502      -19.5706      -45.0758
         524      -14.0919      -46.0303
         597      -33.8246      -44.2898
         628      -21.9604      -43.5847
         646      -13.9756      -43.1930
         647      -13.7407      -43.9218
         717      -33.4156      -41.8326
         732      -27.6765      -43.0034
         756      -20.2766      -42.2257
         821      -33.7626      -40.2307
         874      -13.5689      -41.2270
         973      -26.9841      -39.9173
        1014      -13.5675      -39.1712
        1078      -33.7691      -38.0956
        1079      -33.5435      -38.5114
        1110      -19.8474      -38.1860
        1130      -13.6452      -37.5685
        1219      -27.5560      -36.2634
        1227      -22.1768      -36.7517
        1252      -13.9145      -36.5875
        1306      -33.6090      -34.0977
        1316      -32.5857      -34.7219
        1339      -22.3976      -34.1837
        1340      -20.5694      -34.7761
        1465      -27.0890      -32.5811
        1505      -13.5469      -32.8050
        1595      -33.1350      -31.7444
        1649      -13.6971      -31.5935
        1702      -33.7934      -29.9202
        1735      -27.1100      -30.0411
        1755      -22.2048      -30.0586
        1832      -13.7142      -28.5711
        1837      -13.8507      -28.3672
        1913      -33.0439      -27.1418
        1933      -22.0976      -27.6307
        1938      -19.7662      -26.4316
        1953      -14.1568      -26.6364
        2020      -33.9404      -25.9149
        2021      -33.2392      -25.3600
        2043      -27.5269      -25.9601
        2191      -21.3393      -23.5786
        2198      -20.1574      -24.2732
        2217      -14.3342      -24.3285
        2267      -33.3337      -22.6245
        2290      -26.4952      -23.0642
        2314      -14.6891      -22.7038
        2391      -33.5586      -20.7271
        2392      -33.6321      -20.9989
        2453      -13.8191      -20.8472
        2546      -26.8246      -18.9951
        2563      -21.3128      -20.0067
        2666      -33.2644      -17.9266
        2715      -19.7474      -17.4195
        2729      -14.0662      -18.0804
        2767      -33.5932      -16.7025
        2789      -22.9026      -16.4605
        2811      -14.0917      -16.2307
        2906      -26.5955      -15.2105
        2932      -20.3592      -14.1156
        3030      -33.8622      -13.8186
        3077      -22.5250      -13.1016
        3104      -14.1351      -13.1907
        3183      -26.9437      -12.3384
        3208      -19.2943      -11.3383
        3231      -14.1978      -12.3999
        3281      -33.0176      -10.9011
        3299      -22.6617      -10.6799
        3389      -33.2097       -9.0339
        3409      -28.3934       -8.6674
        3451      -14.3567       -8.6820
        3518      -33.8539       -7.0166
        3519      -33.4296       -7.6974
        3567      -20.2229       -7.6159
        3683      -26.8795       -5.4848
        3695      -22.6568       -5.9871
        3715      -13.9097       -6.0816
        3798      -19.3036       -3.9643
        3808      -14.3263       -4.5731
        3878      -33.6249       -3.2616
        3914      -21.5956       -2.2294
        3934      -13.7109       -2.2915
        3940      -13.8378       -2.1347
        4017      -33.7377       -1.1737
        4036      -27.5530       -1.5994
        4064      -19.9534       -0.8511
        4135      -33.5291        0.2843
        4277      -26.9099        2.1577
        4306      -14.3816        2.3548
        4361      -32.3192        2.7099
        4395      -20.1588        2.7894
        4543      -26.8526        5.3193
        4553      -22.7639        4.3342
        4602      -14.0374        5.3960
        4685      -33.6515        6.3601
        4730      -20.4309        5.9070
        4838      -27.3058        7.7508
        4848      -22.9815        7.5550
        4873      -13.9297        7.7284
        4875      -14.5540        8.3122
        4976      -33.9433        8.8312
        4986      -33.6480       10.1778
        5044      -19.2490        9.8661
        5161      -33.8481       11.3292
        5211      -23.3906       11.2517
        5238      -14.3307       10.9446
        5346      -27.1257       12.1552
        5434      -33.4192       13.7652
        5460      -22.9512       14.8839
        5474      -20.4629       13.8651
        5555      -33.6982       15.4340
        5581      -27.0263       15.5351
        5613      -14.6602       15.2475
        5679      -33.5860       16.8047
        5732      -22.5254       17.8044
        5736      -20.5166       16.4740
        5757      -14.6514       17.7147
        5947      -33.7649       19.7308
        5975      -19.6284       20.5412
        5981      -14.6239       19.7738
        6074      -23.5253       21.6431
        6162      -33.6187       23.7405
        6186      -26.9841       23.3467
        6202      -20.4027       23.3894
        6218      -14.2806       22.6626
        6298      -23.0301       24.7830
        6326      -14.3814       25.2619
        6367      -27.4530       25.8334
        6395      -20.5229       26.7455
        6463      -33.4871       27.3375
        6597      -27.3175       29.0469
        6612      -23.0588       29.0012
        6644      -14.2626       29.4199
        6695      -33.4694       30.3672
        6737      -20.5706       31.1095
        6767      -14.8311       31.5133
        6806      -27.7782       32.5832
        6820      -22.9702       31.8055
        6894      -33.8278       33.3461
        7019      -33.4255       36.1290
        7042      -27.3505       35.6003
        7053      -22.7381       35.3471
        7065      -19.6134       34.7378
        7089      -14.0254       35.7398
        7190      -20.5417       37.2813
        7260      -23.1335       38.8726
        7279      -15.1558       38.9527
        7362      -27.6695       40.6309
        7384      -20.1920       40.7111
        7501      -33.3756       40.8256
        7556      -14.5900       42.2662
        7623      -33.2598       43.2223
        7636      -27.2321       42.4624
        7646      -22.9139       42.4303
        7651      -20.1321       43.6192
        7658      -14.8077       43.0930
        7871       -8.2056      -50.6618
        7907        0.3681      -49.6509
        7916        5.5840      -50.5314
        7926       11.7532      -50.5606
        8069       -0.0411      -47.2471
        8088        5.4282      -47.4855
        8103       11.6984      -46.5890
        8245        5.0886      -43.8467
        8342        0.2056      -43.2143
        8393       11.4312      -42.6852
        8492        5.1514      -40.4865
        8561       -0.8328      -39.1612
        8585       11.2790      -38.9345
        8755       -0.1411      -36.6272
        8778        5.1209      -36.4058
        8792       11.2112      -36.2970
        8882       10.9115      -34.0765
        8933        0.6661      -32.7384
        8937        5.5890      -32.7796
        9115       -0.0019      -29.5363
        9127        4.4772      -30.0275
        9148       11.1536      -29.4235
        9300        0.4167      -26.3915
        9305        4.4453      -26.3684
        9432       11.3718      -25.6787
        9559       11.1976      -23.4137
        9638       -0.5122      -22.7329
        9649        4.4603      -22.5709
        9793        0.0479      -18.8353
        9816        4.7974      -18.9240
        9961       11.0726      -18.1174
       10035       -0.0117      -15.7317
       10049        4.5938      -15.8673
       10067       10.9233      -15.8627
       10193        4.9314      -12.7176
       10279        0.2055      -12.0790
       10409        4.2312       -9.7637
       10438       10.9946      -10.7031
       10439       11.0270       -9.7416
       10489       -0.1428       -8.2423
       10614       10.4223       -6.3419
       10691       -0.1411       -5.5941
       10705        4.6470       -5.3922
       10822        0.1588       -1.8747
       10833        4.1574       -2.0698
       10936       10.9220       -1.4815
       11027        0.3367        1.0948
       11136        4.4131        1.7648
       11153       10.4946        1.8488
       11214       10.5580        4.3445
       11274        0.2836        5.0278
       11280        4.5119        5.1157
       11394        4.3353        7.4779
       11494        0.4870        8.2601
       11711        4.3059       11.9119
       11734       10.9273       11.9381
       11823        0.0337       12.2426
       11971       10.5056       14.2339
       12017        0.5270       15.9848
       12033        5.0156       15.3343
       12200       -0.1306       19.6268
       12216        4.2303       18.7102
       12241       10.5126       19.6362
       12419       -0.0173       22.3560
       12426        4.1573       22.3464
       12601       10.2598       23.0763
       12703       -0.3054       25.8362
       12754       10.3621       24.6365
       12866        4.1618       25.9965
       12974        3.6426       28.8309
       12990       10.2151       29.0159
       13088        0.0678       29.7504
       13247       10.2342       32.1675
       13314       -0.6701       32.8354
       13330        3.8275       32.4939
       13468       -0.2581       36.4397
       13481        3.8154       36.0664
       13496        9.9092       36.7899
       13680        3.9969       39.2057
       13700        9.8457       39.3364
       13733       -0.6071       39.9216
       13815        3.7506       42.4016
       13907       -0.0690       43.3805
       13943        9.9203       43.8455
       14004        8.5972       45.1759
       14045        3.1775       46.0361
       14166       -0.0268       50.3020
       14183        3.3009       49.9043
       14188      -26.3088       50.2653
   200000004      -24.0398       35.6627
   200000003      -21.1455      -36.7200
   200000005        2.0812      -36.0446
   200000001        2.0830      -36.0448
   200000002       -0.7804       36.3268
         -99        0.0000        0.0000
